akun,komunitas,degree_centrality,betweenness,eigenvector,degree,ukuran_komunitas,skor_mencurigakan
1561311979934851073,0,0.004,0.0,0,1,2,0.06826666666666667
yappingfess,0,0.004,0.0,0,1,2,0.06826666666666667
1809820382255542274,1,0.004,0.0,0,1,2,0.06826666666666667
majestiecal,1,0.004,0.0,0,1,2,0.06826666666666667
1150795825,2,0.004,0.0,0,1,2,0.06826666666666667
batacici,2,0.004,0.0,0,1,2,0.06826666666666667
1210505846553079808,3,0.004,0.0,0,1,2,0.06826666666666667
Opposisi6890,3,0.004,0.0,0,1,2,0.06826666666666667
1845521892758994944,4,0.004,0.0,0,1,2,0.06826666666666667
18fesss,4,0.004,0.0,0,1,2,0.06826666666666667
1201477273569808387,6,0.004,0.0,0,1,2,0.06826666666666667
bandott_13,6,0.004,0.0,0,1,2,0.06826666666666667
0tk0il,10,0.004,0.0,0,1,2,0.06826666666666667
718554804553797632,10,0.004,0.0,0,1,2,0.06826666666666667
BigAlphaID,20,0.004,0.0,0,1,2,0.06826666666666667
460227486,21,0.004,0.0,0,1,2,0.06826666666666667
SeekHustle,21,0.004,0.0,0,1,2,0.06826666666666667
2034567669308166144,18,0.004,0.0,0,1,2,0.06826666666666667
Rayaazhrar,19,0.004,0.0,0,1,2,0.06826666666666667
2046864339865358336,15,0.004,0.0,0,1,2,0.06826666666666667
ldsookie,15,0.004,0.0,0,1,2,0.06826666666666667
1735316960945262592,14,0.004,0.0,0,1,2,0.06826666666666667
keluhkesahkonoh,14,0.004,0.0,0,1,2,0.06826666666666667
Keuangan,12,0.004,0.0,0,1,2,0.06826666666666667
1226436091617505281,12,0.004,0.0,0,1,2,0.06826666666666667
StretfordHarris,18,0.004,0.0,0,1,2,0.06826666666666667
1693471222183690240,19,0.004,0.0,0,1,2,0.06826666666666667
1480641668344737795,20,0.004,0.0,0,1,2,0.06826666666666667
tempodotco,34,0.004,0.0,0,1,2,0.06826666666666667
1864209667725119488,33,0.004,0.0,0,1,2,0.06826666666666667
ArvinHonami,33,0.004,0.0,0,1,2,0.06826666666666667
2873462168,34,0.004,0.0,0,1,2,0.06826666666666667
dhemit_is_back,32,0.004,0.0,0,1,2,0.06826666666666667
341267493,30,0.004,0.0,0,1,2,0.06826666666666667
jondhez,30,0.004,0.0,0,1,2,0.06826666666666667
713516592965881856,28,0.004,0.0,0,1,2,0.06826666666666667
IDNTimes,28,0.004,0.0,0,1,2,0.06826666666666667
1428602402211471369,26,0.004,0.0,0,1,2,0.06826666666666667
doelpaten,26,0.004,0.0,0,1,2,0.06826666666666667
1820666422672125952,23,0.004,0.0,0,1,2,0.06826666666666667
oeussia,23,0.004,0.0,0,1,2,0.06826666666666667
1841157456359276545,32,0.004,0.0,0,1,2,0.06826666666666667
360478293,36,0.004,0.0,0,1,2,0.06826666666666667
axonranvier,36,0.004,0.0,0,1,2,0.06826666666666667
54811132,45,0.004,0.0,0,1,2,0.06826666666666667
denismalhotra,46,0.004,0.0,0,1,2,0.06826666666666667
2033786143708483585,42,0.004,0.0,0,1,2,0.06826666666666667
bgkiting,41,0.004,0.0,0,1,2,0.06826666666666667
282045973,41,0.004,0.0,0,1,2,0.06826666666666667
1942519347848830977,39,0.004,0.0,0,1,2,0.06826666666666667
TradingDiary2,39,0.004,0.0,0,1,2,0.06826666666666667
1959701720537452544,40,0.004,0.0,0,1,2,0.06826666666666667
indepenSumatera,40,0.004,0.0,0,1,2,0.06826666666666667
empty__core,37,0.004,0.0,0,1,2,0.06826666666666667
1803347096126496768,38,0.004,0.0,0,1,2,0.06826666666666667
LambeSahamjja,38,0.004,0.0,0,1,2,0.06826666666666667
1718911656418533376,37,0.004,0.0,0,1,2,0.06826666666666667
965871936545816577,59,0.004,0.0,0,1,2,0.06826666666666667
957675083081826305,57,0.004,0.0,0,1,2,0.06826666666666667
1899105032743813121,58,0.004,0.0,0,1,2,0.06826666666666667
tvindonesiawkwk,57,0.004,0.0,0,1,2,0.06826666666666667
stelanau,55,0.004,0.0,0,1,2,0.06826666666666667
kemkomdigi,58,0.004,0.0,0,1,2,0.06826666666666667
1382725234445348864,55,0.004,0.0,0,1,2,0.06826666666666667
1474772498394673158,5,0.004,0.0,0,1,2,0.06826666666666667
1583119257470402560,62,0.004,0.0,0,1,2,0.06826666666666667
semogaaqu,62,0.004,0.0,0,1,2,0.06826666666666667
1480337430016266243,63,0.004,0.0,0,1,2,0.06826666666666667
Stakof,61,0.004,0.0,0,1,2,0.06826666666666667
2908675710,61,0.004,0.0,0,1,2,0.06826666666666667
ardisatriawan,60,0.004,0.0,0,1,2,0.06826666666666667
Andri_an79,52,0.004,0.0,0,1,2,0.06826666666666667
3267063782,52,0.004,0.0,0,1,2,0.06826666666666667
txtdaritaxpayer,42,0.004,0.0,0,1,2,0.06826666666666667
1036630387626131458,46,0.004,0.0,0,1,2,0.06826666666666667
noone_n_nobody_,45,0.004,0.0,0,1,2,0.06826666666666667
BudiBukanIntel,63,0.004,0.0,0,1,2,0.06826666666666667
blesstresseu,17,0.004,0.0,0,1,2,0.06826666666666667
62033039,17,0.004,0.0,0,1,2,0.06826666666666667
1603794271559376897,60,0.004,0.0,0,1,2,0.06826666666666667
BACAdibalik,59,0.004,0.0,0,1,2,0.06826666666666667
Jateng_Twit,5,0.004,0.0,0,1,2,0.06826666666666667
559981894,44,0.0081,0.0,0,2,3,0.05324
1039784575629574144,43,0.0081,0.0,0,2,3,0.05324
1954281496589856768,16,0.0081,0.0,0,2,3,0.05324
1418244425906475008,54,0.0081,0.0,0,2,3,0.05324
1332218528166866944,53,0.0081,0.0,0,2,3,0.05324
2033578640211156992,47,0.0081,0.0,0,2,3,0.05324
1800731767789547520,51,0.0081,0.0,0,2,3,0.05324
1869673304,35,0.0081,0.0,0,2,3,0.05324
1171334228,25,0.0081,0.0,0,2,3,0.05324
Mah5Utari,54,0.004,0.0,0,1,3,0.0516
DombaHitamManis,53,0.004,0.0,0,1,3,0.0516
azraelcode,44,0.004,0.0,0,1,3,0.0516
pejuangdolars,54,0.004,0.0,0,1,3,0.0516
nabillaaptrii,16,0.004,0.0,0,1,3,0.0516
Debtfreesoon02,16,0.004,0.0,0,1,3,0.0516
KakekHalal,53,0.004,0.0,0,1,3,0.0516
